PB_ID;Product_Description;Name;Ookinete;Oocyst;Sporozoite;Liver;Merozoite;Ring;Trophozoite;Schizont;Female;Male;Further_Information
PBANKA_0412500;conserved Plasmodium protein, unknown function;N/A;1,34;2,01;1,64;1,13;0,03;0,23;2,22;1,29;2,1;0,49;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0412500"">PBANKA_0412500</a>"
PBANKA_0412600;conserved Plasmodium protein, unknown function;N/A;1,19;1,54;3,01;1,56;0;0,25;1,87;0,43;1,45;1,14;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0412600"">PBANKA_0412600</a>"
PBANKA_0412700;zinc finger protein, putative;N/A;0,3;1,81;0,38;1,53;0;0,3;1,66;0,02;1,61;0,52;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0412700"">PBANKA_0412700</a>"
PBANKA_0412800;eukaryotic translation initiation factor 4E, putative;eIF4E;1,38;4,73;0,09;1,96;0,07;0,91;2,68;0,78;2,66;0,53;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0412800"">PBANKA_0412800</a>"
PBANKA_0412900;circumsporozoite- and TRAP-related protein;CTRP;12,41;3,02;0,24;0,38;0,17;0,11;0,02;0,13;4,91;0,04;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0412900"">PBANKA_0412900</a>"
PBANKA_0413000;conserved Plasmodium protein, unknown function;N/A;4,24;2,54;1,37;2,55;0,03;0,32;2,36;0,35;1,15;5,41;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0413000"">PBANKA_0413000</a>"
PBANKA_0413200;conserved Plasmodium protein, unknown function;N/A;2,41;4,87;0,51;2,99;0,04;1,07;5,3;0,72;0,69;0,35;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0413200"">PBANKA_0413200</a>"
PBANKA_0413300;mitochondrial ribosomal protein L29/L47 precursor, putative;N/A;1,2;3,08;0,03;2,91;0,04;0,48;1,19;0,04;1,44;2,16;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0413300"">PBANKA_0413300</a>"
PBANKA_0413400;zinc finger protein, putative;N/A;0,13;0,29;0,02;1,17;0;0,24;0,27;0,07;1,32;3,96;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0413400"">PBANKA_0413400</a>"
PBANKA_0413500;conserved Plasmodium protein, unknown function;N/A;6,12;3,87;1,04;2,29;0,2;0,71;3,01;1,34;7,54;0,47;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0413500"">PBANKA_0413500</a>"
PBANKA_0413600;zinc finger protein, putative;N/A;0,76;4,8;0,37;1,57;0,06;0,57;2,98;0,54;0,29;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0413600"">PBANKA_0413600</a>"
PBANKA_0413700;conserved Plasmodium protein, unknown function;N/A;0,57;1,58;0,99;0,6;0;0,31;0,92;0,24;0,41;1,67;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0413700"">PBANKA_0413700</a>"
PBANKA_0413800;microneme associated antigen, putative;MA;0,86;5,21;0,05;3,7;0;0,27;1,04;0,19;1,81;0,16;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0413800"">PBANKA_0413800</a>"
PBANKA_0413900;mitochondrial ribosomal protein L27 precursor, putative;N/A;0,63;2,77;0;1,96;0,04;0,47;1,28;0,02;0,86;0,22;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0413900"">PBANKA_0413900</a>"
PBANKA_0414000;conserved Plasmodium protein, unknown function;N/A;1,85;4,19;0,59;2,54;0,02;0,57;3,48;0,32;1,56;3,47;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0414000"">PBANKA_0414000</a>"
PBANKA_0414100;inorganic pyrophosphatase, putative;PPase;0,63;1,66;0,47;1,37;0;0,32;3,87;0,35;2,8;3,31;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0414100"">PBANKA_0414100</a>"
PBANKA_0414200;conserved protein, unknown function;N/A;4,42;3,38;0,23;3,74;0,03;0,97;1,57;0,7;0,58;1,2;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0414200"">PBANKA_0414200</a>"
PBANKA_0414300;kinetochore protein NUF2, putative;NUF2;7,26;1,95;0,45;4,16;0;0,17;3,79;2,41;1,77;4,16;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0414300"">PBANKA_0414300</a>"
PBANKA_0414400;formate-nitrite transporter, putative;FNT;4,66;4,62;2,52;3,82;0;0,67;8,05;1,98;0,93;1,09;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0414400"">PBANKA_0414400</a>"
PBANKA_0414500;protein YOP1, putative;YOP1;0,89;1,82;0,15;1,92;0,05;0,42;4,24;0,37;0,88;1,37;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0414500"">PBANKA_0414500</a>"
PBANKA_0414600;40S ribosomal protein S15A, putative;N/A;4,56;8,86;1,01;6,64;1,53;7,33;8,94;2,59;5,34;3,34;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0414600"">PBANKA_0414600</a>"
PBANKA_0414700;zinc finger protein, putative;N/A;6,15;6,41;1,37;2,13;2,77;0,65;2;2,48;2,37;1,42;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0414700"">PBANKA_0414700</a>"
PBANKA_0414800;arginase;N/A;4,63;6;1,82;2,35;0,08;1,02;0,95;0,54;1,32;0,5;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0414800"">PBANKA_0414800</a>"
PBANKA_0414900;dynein intermediate light chain, putative;N/A;2,99;1,07;4,18;1,3;0,06;0,19;0,55;0,17;2,68;0,03;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0414900"">PBANKA_0414900</a>"
PBANKA_0415000;Maf-like protein, putative;N/A;0,83;2,73;0,11;4,02;0;0,62;4,32;0,39;0,31;5,18;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0415000"">PBANKA_0415000</a>"
PBANKA_0415100;conserved Plasmodium protein, unknown function;N/A;1,54;1,32;0,01;2,75;0,02;0,27;2,96;0,56;3,3;0,96;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0415100"">PBANKA_0415100</a>"
PBANKA_0415200;vacuolar protein sorting-associated protein 46, putative;VPS46;1,1;4,42;0,79;5,44;0;0,65;5,93;2,61;4,46;0,04;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0415200"">PBANKA_0415200</a>"
PBANKA_0415300;exoribonuclease II, putative;RNaseII;3,44;4,85;2,64;3,62;0,08;1,18;3,21;1,62;2,53;0,42;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0415300"">PBANKA_0415300</a>"
PBANKA_0415400;conserved Plasmodium protein, unknown function, pseudogene;N/A;6,95;4,67;0,33;3,22;0,14;0,79;5,08;2,38;1,81;1,73;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0415400"">PBANKA_0415400</a>"
PBANKA_0415500;coatomer subunit beta, putative;SEC27;1,23;2,85;0,26;2,03;0,03;0,42;4,31;0,8;2,55;0,42;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0415500"">PBANKA_0415500</a>"
PBANKA_0415600;conserved Plasmodium protein, unknown function;N/A;2,91;4,25;1,86;2,09;0,87;0,52;2,04;1,21;1,92;3,29;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0415600"">PBANKA_0415600</a>"
PBANKA_0415700;autophagy-related protein 3, putative;ATG3;5,16;3,79;1,72;3,81;0;0,3;5;1,9;5,73;2,6;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0415700"">PBANKA_0415700</a>"
PBANKA_0415800;WD repeat-containing protein 66, putative;WDR66;1,51;0,4;0,24;0,51;0,05;0,24;0,59;0,19;0,72;5,98;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0415800"">PBANKA_0415800</a>"
PBANKA_0415900;conserved protein, unknown function;N/A;1,05;1,2;0,07;1,74;0;0,07;1,67;3,1;0,8;0,65;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0415900"">PBANKA_0415900</a>"
PBANKA_0416000;high molecular weight rhoptry protein 3, putative;RhopH3;0,13;1,64;0;6,53;0;1,49;11,63;5,21;0,81;1,65;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0416000"">PBANKA_0416000</a>"
PBANKA_0416100;dynein heavy chain, putative;MG1;0,7;1,55;0,21;1,37;0,34;0,61;2;1,01;1;10,32;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0416100"">PBANKA_0416100</a>"
PBANKA_0416200;mitochondrial carrier protein, putative;N/A;3,63;5,18;1,73;2,54;0,74;0,8;1,3;2,48;1,62;2,14;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0416200"">PBANKA_0416200</a>"
PBANKA_0416300;nucleoporin NUP221;NUP221;4,57;5,74;2,45;6,54;0,12;0,72;6,43;1,45;4,47;1,64;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0416300"">PBANKA_0416300</a>"
PBANKA_0416400;conserved Plasmodium protein, unknown function;N/A;0,74;3,97;0,47;2,04;0;0,45;3,89;0,19;3,01;0,06;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0416400"">PBANKA_0416400</a>"
PBANKA_0416500;copper-transporting ATPase;CuTP;1,42;5,52;0,53;4,65;0,06;1,46;6,31;0,14;4,74;2,25;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0416500"">PBANKA_0416500</a>"
PBANKA_0416600;replication protein A1, small fragment;N/A;0,38;2,77;0,59;4,6;0,13;1;7,04;0,8;2,31;8,32;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0416600"">PBANKA_0416600</a>"
PBANKA_0416700;bacterial histone-like protein, putative;HU;0,78;4,37;0,12;4,92;0;0,97;7,12;1,4;1,06;1,32;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0416700"">PBANKA_0416700</a>"
PBANKA_0416800;ubiquitin specific protease, putative;N/A;0,96;4,8;0,52;4,75;0,02;0,79;5,53;0,73;2,45;1,34;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0416800"">PBANKA_0416800</a>"
PBANKA_0416900;prefoldin subunit 4, putative;N/A;0,2;3,47;0,02;1,74;0;1,14;2,24;0,3;0,93;0,42;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0416900"">PBANKA_0416900</a>"
PBANKA_0417000;signal peptidase complex subunit 3, putative;SPC3;0,28;2,94;0;0,51;0,03;0,3;2,57;0,11;3,76;0,3;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0417000"">PBANKA_0417000</a>"
PBANKA_0417100;conserved protein, unknown function;N/A;1,83;0,51;1,22;0,46;0,02;0,03;0,12;0,08;2,54;1,17;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0417100"">PBANKA_0417100</a>"
PBANKA_0417200;PH domain-containing protein;PH;2,79;0,06;0,05;0,1;0,83;0,3;0,41;0,44;10,45;0,09;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0417200"">PBANKA_0417200</a>"
PBANKA_0417300;AP-4 complex subunit epsilon, putative;N/A;0,37;4,4;0,07;2,16;0;0,45;3,14;0,18;2,36;0,24;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0417300"">PBANKA_0417300</a>"
PBANKA_0417400;GTPase-activating protein, putative;N/A;1,96;5,65;0,55;3,77;0;0,85;7,48;0,7;6,36;1,71;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0417400"">PBANKA_0417400</a>"
PBANKA_0417500;60S ribosomal protein L32, putative;RPL32;6,55;9,73;1,81;7,23;2,19;8,49;8,04;3,04;5,55;3,25;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0417500"">PBANKA_0417500</a>"
PBANKA_0417600;LCCL domain-containing protein;CCp4;1,44;1,57;0;1,33;0,23;0,16;0,39;0,23;9,51;0,99;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0417600"">PBANKA_0417600</a>"
PBANKA_0417700;alpha tubulin 1;N/A;1,59;6,96;0,29;3,83;0,03;0,8;9,12;4,32;7,29;3,6;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0417700"">PBANKA_0417700</a>"
PBANKA_0417800;conserved protein, unknown function;N/A;2,24;3,08;2,75;8,09;0,1;0,37;4,32;6,04;4,91;0,95;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0417800"">PBANKA_0417800</a>"
PBANKA_0417900;nucleoporin NUP138;NUP138;3,25;6,1;1,61;4,66;0;0,98;5,16;0,54;1,78;0,84;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0417900"">PBANKA_0417900</a>"
PBANKA_0418000;ATP-dependent RNA helicase DDX60, putative;DDX60;2,33;7,09;0,18;4,09;1,19;2,42;4,73;1,1;2,47;1,52;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0418000"">PBANKA_0418000</a>"
PBANKA_0418100;conserved protein, unknown function;N/A;0,26;1,86;0,61;4,99;0,03;0,55;5,87;2,08;2,47;2,87;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0418100"">PBANKA_0418100</a>"
PBANKA_0418200;ras-related protein RAB7, putative;RAB7;0,65;3,78;0,06;6,31;0,01;1,74;8,82;1,11;4,11;1,71;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0418200"">PBANKA_0418200</a>"
PBANKA_0418300;protein RER1, putative;RER1;1,11;3,59;0,37;1,58;0,08;0,24;3,01;2,69;3,53;2,16;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0418300"">PBANKA_0418300</a>"
PBANKA_0418400;conserved protein, unknown function;N/A;0,06;1,85;0;1,04;0;0,07;1,87;0,17;0,45;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0418400"">PBANKA_0418400</a>"
PBANKA_0418500;Plasmodium exported protein, unknown function;N/A;0;0,13;0,01;0,18;1,04;0,37;2,74;4,72;0,37;0,73;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0418500"">PBANKA_0418500</a>"
PBANKA_0500100;fam-a protein, pseudogene;N/A;0;0;0,02;0;0;0;0;0;0;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0500100"">PBANKA_0500100</a>"
PBANKA_0500200;PIR protein;N/A;0;0;0;0;0,01;0,01;0;0;0;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0500200"">PBANKA_0500200</a>"
PBANKA_0500600;fam-b protein;N/A;0;0;0;0;0,01;0,09;0;0,03;0;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0500600"">PBANKA_0500600</a>"
PBANKA_0500700;fam-a protein;N/A;0,06;0,08;0;0,01;0,61;1,17;0,56;2,52;0,05;0,4;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0500700"">PBANKA_0500700</a>"
PBANKA_0500721;PIR protein, pseudogene;N/A;0;0;0;0;0;0,07;0;0;0;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0500721"">PBANKA_0500721</a>"
PBANKA_0500741;fam-b protein;N/A;0;0;0;0;0,03;0,21;0;0,11;0,02;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0500741"">PBANKA_0500741</a>"
PBANKA_0500781;PIR protein;N/A;0;0;0;0,01;0,02;0,14;0,46;0;0;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0500781"">PBANKA_0500781</a>"
PBANKA_0500950;PIR protein, pseudogene;N/A;0;0;0;0;0,18;0,43;0,16;0,12;0,04;0,05;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0500950"">PBANKA_0500950</a>"
PBANKA_0500971;PIR protein;N/A;0,1;0,03;0;0;0,05;0,11;0;0,03;0,03;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0500971"">PBANKA_0500971</a>"
PBANKA_0501000;reticulocyte binding protein, putative;Pb235;0,03;0,03;0,03;0,04;0,02;0,02;0,03;0,33;0;0,11;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0501000"">PBANKA_0501000</a>"
PBANKA_0501051;fam-a protein;N/A;0,02;0;0;0;0,01;0,02;0,02;0,01;0;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0501051"">PBANKA_0501051</a>"
PBANKA_0501100;early transcribed membrane protein;Sep 03;0,38;0,54;0,12;0,86;0,27;2,3;5,35;0,77;4,05;3,6;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0501100"">PBANKA_0501100</a>"
PBANKA_0501200;early transcribed membrane protein;UIS4;2,15;1,63;14,01;2,94;0,05;0,08;0,58;0,81;0,18;0,08;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0501200"">PBANKA_0501200</a>"
PBANKA_0501300;DNA polymerase delta catalytic subunit, putative;N/A;0,14;2,22;2,11;2,66;0;0,19;6,73;0,66;0,46;5,88;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0501300"">PBANKA_0501300</a>"
PBANKA_0501400;rhoptry neck protein 12;RON12;0,16;0,14;0,16;0,91;0;0;0,41;4,8;0,54;0,24;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0501400"">PBANKA_0501400</a>"
PBANKA_0501500;enoyl-CoA hydratase-related protein, putative;N/A;0,19;3,7;0,04;2,58;0;0,66;3,56;1,35;1,22;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0501500"">PBANKA_0501500</a>"
PBANKA_0501600;golgi re-assembly stacking protein, putative;GRASP;4,53;5,5;4,5;4,34;0;0;0,22;4,5;1,44;0,25;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0501600"">PBANKA_0501600</a>"
PBANKA_0501700;phosphomannomutase, putative;N/A;0,97;0,53;0,48;6,02;0;0,19;4,12;1,54;6,42;0,64;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0501700"">PBANKA_0501700</a>"
PBANKA_0501800;myosin essential light chain ELC, putative;ELC;8,06;8,54;2,09;5,82;0,2;0,12;1,48;5;2,13;1,21;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0501800"">PBANKA_0501800</a>"
PBANKA_0501900;conserved Plasmodium protein, unknown function;N/A;1;2,18;0,8;2,2;0,05;0,29;2,45;0,11;1,13;0,04;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0501900"">PBANKA_0501900</a>"
PBANKA_0502000;conserved Plasmodium protein, unknown function;N/A;0,48;0,9;0,38;1,38;0,25;0,22;0,29;0,18;8,22;1,89;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0502000"">PBANKA_0502000</a>"
PBANKA_0502100;conserved Plasmodium protein, unknown function;N/A;0,12;3,19;0;1,91;0,03;0,36;0,42;0,04;1,42;0,09;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0502100"">PBANKA_0502100</a>"
PBANKA_0502200;26S proteasome regulatory subunit p55, putative;RPN5;0,2;4,99;0,02;3,93;0;1,49;5,02;0,16;2,7;0;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0502200"">PBANKA_0502200</a>"
PBANKA_0502300;tRNA pseudouridine synthase, putative;N/A;0,66;3,79;1,36;3,98;0;0,75;2,47;0,26;0,33;0,85;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0502300"">PBANKA_0502300</a>"
PBANKA_0502400;conserved Plasmodium protein, unknown function;N/A;0,12;0,65;0,22;0,27;0;0,12;0,3;0,12;0,22;4,55;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0502400"">PBANKA_0502400</a>"
PBANKA_0502500;serine/threonine protein phosphatase 8;PPP8;1,98;2,46;2,45;3,96;0,62;0,52;3,91;4,27;7,99;1,68;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0502500"">PBANKA_0502500</a>"
PBANKA_0502600;peptidase, putative;N/A;1,25;5,3;1,33;5,7;0,06;1,44;7,95;1,71;1,56;0,68;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0502600"">PBANKA_0502600</a>"
PBANKA_0502650;conserved Plasmodium protein, unknown function;N/A;2,52;1,48;0,14;1,55;0,02;0,53;0,25;0,46;9,21;0,02;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0502650"">PBANKA_0502650</a>"
PBANKA_0502700;pre-mRNA-splicing factor RDS3, putative;RDS3;1,58;5,42;0,33;4,3;0,16;2,04;2,21;1,61;6,58;0,12;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0502700"">PBANKA_0502700</a>"
PBANKA_0502800;tRNA wybutosine-synthesizing protein, putative;N/A;6,46;5,77;0,57;2,68;0,68;0,63;2,24;2,02;3,93;2,23;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0502800"">PBANKA_0502800</a>"
PBANKA_0502900;conserved Plasmodium protein, unknown function;N/A;1,88;2,1;1,32;0,79;0,5;0,18;2,73;1,5;1,04;3,58;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0502900"">PBANKA_0502900</a>"
PBANKA_0503000;conserved protein, unknown function;N/A;1,21;2,08;0,25;1,85;0,15;0,11;0,32;0,87;1,05;0,29;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0503000"">PBANKA_0503000</a>"
PBANKA_0503100;conserved Plasmodium protein, unknown function;N/A;1,13;2,65;0,28;1,81;0,13;0,17;0,53;1,36;1,94;0,52;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0503100"">PBANKA_0503100</a>"
PBANKA_0503200;eukaryotic translation initiation factor subunit eIF2A, putative;N/A;4,27;5,64;2,7;5,69;0,13;1,34;6,6;1,66;4,53;2,02;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0503200"">PBANKA_0503200</a>"
PBANKA_0503300;conserved Plasmodium protein, unknown function;N/A;1,57;1,17;0,02;3,91;0,54;0,58;3,09;3,51;7,63;2,4;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0503300"">PBANKA_0503300</a>"
PBANKA_0503400;conserved Plasmodium protein, unknown function;N/A;0,19;0,04;0;0,53;0;0,23;0,62;1,87;1,46;0,8;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0503400"">PBANKA_0503400</a>"
PBANKA_0503500;zinc finger protein, putative;N/A;1,93;2,08;0,27;2,74;0,38;0,43;2,76;0,52;9,54;3,78;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0503500"">PBANKA_0503500</a>"
PBANKA_0503600;60S ribosomal protein L30e, putative;N/A;3,64;9,12;0,11;7,08;2;8,33;7,56;2,09;5,43;2,94;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0503600"">PBANKA_0503600</a>"
PBANKA_0503700;conserved Plasmodium protein, unknown function;N/A;5,56;4,5;1,73;3,77;0,07;0,76;4,67;0,79;1,54;1,68;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0503700"">PBANKA_0503700</a>"
PBANKA_0503800;conserved Plasmodium protein, unknown function;N/A;4,9;0,6;0,28;0,74;0;0,24;0,86;1,03;5,84;1,91;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0503800"">PBANKA_0503800</a>"
PBANKA_0503900;conserved Plasmodium protein, unknown function;N/A;0,28;1,23;0,23;3,2;0,05;0,27;3,17;1,26;2,25;0,03;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0503900"">PBANKA_0503900</a>"
PBANKA_0504000;tRNA methyltransferase, putative;N/A;4,72;4,86;0,43;1,75;0,12;1,57;1,76;0,23;3,34;3,24;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0504000"">PBANKA_0504000</a>"
PBANKA_0504100;autophagy-related protein 8;ATG8;1,78;1,17;0,08;0,48;0,01;0,08;0,58;2,59;2,25;2,95;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0504100"">PBANKA_0504100</a>"
PBANKA_0504200;RNA-binding protein 34, putative;RBM34;3,33;4,62;0,62;2,23;0,19;1,12;0,28;2,45;2,68;0,73;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0504200"">PBANKA_0504200</a>"
PBANKA_0504300;flagellar outer arm dynein-associated protein, putative;N/A;3,8;0,45;0;0,6;0;0,49;0,87;0,28;5,87;6,94;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0504300"">PBANKA_0504300</a>"
PBANKA_0504400;conserved Plasmodium protein, unknown function;N/A;6,47;1,04;0;0,4;0,67;0,27;0,52;0,33;9,92;0,43;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0504400"">PBANKA_0504400</a>"
PBANKA_0504500;cytoplasmic dynein intermediate chain, putative;N/A;2,28;1,28;0,03;2,55;0;0,51;3,5;0,19;2,75;0,13;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0504500"">PBANKA_0504500</a>"
PBANKA_0504600;rRNA (cytosine-C(5))-methyltransferase, putative;RCM1;3,86;4,15;0;2,01;0;0,84;2,26;0,16;0,38;0,37;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0504600"">PBANKA_0504600</a>"
PBANKA_0504700;ribosomal silencing factor RsfS, putative;N/A;2,67;5;0,02;2,95;0,05;1,36;4,2;0,28;0,18;0,22;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0504700"">PBANKA_0504700</a>"
PBANKA_0504800;conserved Plasmodium protein, unknown function;N/A;2,28;3,56;0,42;1,52;0,1;0,77;2,27;0,54;0,48;5,81;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0504800"">PBANKA_0504800</a>"
PBANKA_0504900;N-acetyltransferase, GNAT family, putative;N/A;2,58;4,92;0,15;1,65;1,02;0,91;1,53;2,31;0,69;1,82;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0504900"">PBANKA_0504900</a>"
PBANKA_0505000;dihydrolipoamide acyltransferase, putative;N/A;3,44;3,67;0;6,55;0;0,04;0,34;0,23;0,54;0,04;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0505000"">PBANKA_0505000</a>"
PBANKA_0505100;ADP-ribosylation factor, putative;ARF1;1,39;3,13;0,02;2,2;0,04;0,33;8,48;4,1;3,72;0,66;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0505100"">PBANKA_0505100</a>"
PBANKA_0505200;conserved protein, unknown function;N/A;6,19;3,91;0,03;5,57;0;0,8;6,76;0,53;6,64;0,14;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0505200"">PBANKA_0505200</a>"
PBANKA_0505300;conserved Plasmodium protein, unknown function;N/A;3,18;5,24;1,55;2,79;0,04;0,83;4,92;0,83;1,04;0,24;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0505300"">PBANKA_0505300</a>"
PBANKA_0505400;conserved Plasmodium protein, unknown function;N/A;5,73;5,25;0,27;2,21;0,02;0,48;2,61;1,78;2,48;5,32;"<a href=""https://plasmodb.org/plasmo/app/record/gene/PBANKA_0505400"">PBANKA_0505400</a>"
